"user_id";"username";"password_hash";"role";"region_id";"status";"created_at"
1;"admin_main";"hash_001";"Admin";1;"Active";"2023-01-03 09:15:24"
2;"admin_support";"hash_002";"Admin";2;"Active";"2023-01-04 10:42:57"
3;"admin_backup";"hash_003";"Admin";3;"Blocked";"2023-01-09 17:55:12"
4;"underwriter_north";"hash_004";"UnderWriter";1;"Active";"2023-01-14 08:25:03"
5;"underwriter_south";"hash_005";"UnderWriter";2;"Active";"2023-01-18 11:43:50"
6;"underwriter_east";"hash_006";"UnderWriter";3;"Active";"2023-01-22 09:38:44"
7;"underwriter_west";"hash_007";"UnderWriter";4;"Blocked";"2023-01-28 15:10:29"
8;"operations_mum";"hash_008";"Operational";1;"Active";"2023-02-03 10:12:11"
9;"operations_pune";"hash_009";"Operational";2;"Active";"2023-02-06 13:29:47"
10;"operations_del";"hash_010";"Operational";3;"Active";"2023-02-09 09:54:05"
11;"broker_alpha";"hash_011";"Broker";1;"Active";"2023-02-14 14:23:33"
12;"broker_beta";"hash_012";"Broker";2;"Active";"2023-02-17 15:02:48"
13;"broker_gamma";"hash_013";"Broker";3;"Active";"2023-02-21 10:55:21"
14;"broker_delta";"hash_014";"Broker";4;"Blocked";"2023-02-24 16:40:37"
15;"broker_omega";"hash_015";"Broker";5;"Active";"2023-02-27 12:33:14"
16;"sales_agent01";"hash_016";"SalesAgent";1;"Active";"2023-03-02 09:05:44"
17;"sales_agent02";"hash_017";"SalesAgent";2;"Active";"2023-03-03 11:12:08"
18;"sales_agent03";"hash_018";"SalesAgent";3;"Active";"2023-03-04 13:20:35"
19;"sales_agent04";"hash_019";"SalesAgent";4;"Active";"2023-03-05 15:33:21"
20;"sales_agent05";"hash_020";"SalesAgent";5;"Blocked";"2023-03-07 10:14:59"
21;"admin_new";"hash_021";"Admin";4;"Active";"2023-03-10 08:45:10"
22;"admin_temp";"hash_022";"Admin";5;"Active";"2023-03-12 09:32:48"
23;"underwriter_ne";"hash_023";"UnderWriter";6;"Active";"2023-03-15 14:05:56"
24;"underwriter_sw";"hash_024";"UnderWriter";7;"Active";"2023-03-17 10:28:22"
25;"operations_ahm";"hash_025";"Operational";8;"Active";"2023-03-20 11:55:37"
26;"operations_chn";"hash_026";"Operational";9;"Blocked";"2023-03-22 17:43:10"
27;"broker_city";"hash_027";"Broker";10;"Active";"2023-03-24 10:25:30"
28;"broker_union";"hash_028";"Broker";11;"Active";"2023-03-26 13:41:08"
29;"sales_agent06";"hash_029";"SalesAgent";12;"Active";"2023-03-28 09:15:50"
30;"sales_agent07";"hash_030";"SalesAgent";13;"Active";"2023-03-29 10:22:33"
